Earnings Date,eps_estimate,eps_actual,eps_surprise_pct
2020-05-07 20:00:00,-0.06,-0.04,33.07
2020-08-06 20:00:00,-0.06,-0.03,49.49
2020-11-05 21:00:00,-0.05,-0.02,61.32
2021-02-11 21:00:00,-0.04,-0.02,42.86
2021-05-06 20:00:00,-0.03,-0.03,-2.39
2021-08-05 20:00:00,-0.04,-0.02,43.85
2021-11-04 20:00:00,-0.04,,100.0
2022-02-10 21:00:00,,,100.0
2022-05-05 20:00:00,,0.01,536.94
2022-08-04 20:00:00,-0.01,,100.0
2022-11-03 20:00:00,,0.06,1829.26
2023-02-09 21:00:00,0.05,0.06,31.58
2023-04-27 20:00:00,0.03,0.08,135.43
2023-08-03 20:00:00,0.07,0.1,35.04
2023-11-02 20:00:00,0.1,0.16,62.7
2024-02-08 21:00:00,0.12,0.15,26.29
2024-05-02 20:00:00,0.13,0.16,22.56
2024-08-01 20:00:00,0.14,0.2,42.15
2024-11-07 21:00:00,-0.07,-0.04,45.78
2025-02-06 21:00:00,0.18,0.19,4.97
2025-05-08 20:00:00,0.16,0.16,-1.56
2025-07-31 20:00:00,0.18,0.21,15.51
2025-10-30 20:00:00,0.23,0.27,15.36
2026-02-10 21:00:00,0.27,0.28,3.21
