Earnings Date,eps_estimate,eps_actual,eps_surprise_pct
2020-05-06 12:00:00,-0.02,0.02,210.53
2020-07-29 11:00:00,,0.11,4116.87
2020-10-29 11:00:00,0.05,0.11,123.54
2021-02-17 12:00:00,0.12,0.16,30.9
2021-04-28 11:00:00,0.07,0.2,172.14
2021-07-28 11:00:00,0.1,0.22,132.49
2021-10-28 11:00:00,0.12,0.08,-33.37
2022-02-16 12:00:00,0.13,0.14,3.53
2022-05-05 11:00:00,0.07,0.02,-69.42
2022-07-27 11:00:00,0.03,-0.03,-195.75
2022-10-27 11:00:00,-0.07,-0.02,71.76
2023-02-15 21:00:00,-0.02,0.07,479.2
2023-05-04 11:00:00,-0.04,0.01,127.28
2023-08-02 20:00:00,0.05,0.14,181.07
2023-11-02 11:00:00,0.14,0.24,65.76
2024-02-13 12:00:00,0.3,0.34,13.12
2024-05-08 11:00:00,0.17,0.2,17.92
2024-08-07 11:00:00,0.2,0.26,29.05
2024-11-12 12:00:00,0.18,0.64,254.9
2025-02-11 12:00:00,0.43,0.44,1.78
2025-05-08 11:00:00,0.26,0.25,-4.47
2025-08-06 11:00:00,0.29,0.35,22.15
2025-11-04 12:00:00,0.34,0.34,0.61
2026-02-11 12:00:00,0.51,0.48,-5.71
