Earnings Date,eps_estimate,eps_actual,eps_surprise_pct
2020-12-03 13:00:00,-0.26,-1.01,-287.26
2021-03-03 21:00:00,-0.17,-0.16,9.45
2021-05-26 20:00:00,-0.16,-0.11,28.42
2021-08-25 20:00:00,-0.15,-0.04,73.98
2021-12-01 21:00:00,-0.06,0.04,163.36
2022-03-02 21:00:00,0.03,0.12,310.62
2022-05-25 20:00:00,,-0.01,-71.25
2022-08-24 20:00:00,-0.01,0.01,168.06
2022-11-30 21:00:00,0.05,0.11,141.86
2023-03-01 21:00:00,0.05,0.14,174.03
2023-05-24 20:00:00,0.05,0.15,197.44
2023-08-23 20:00:00,0.1,0.22,116.83
2023-11-29 21:00:00,0.16,0.25,54.15
2024-02-28 21:00:00,0.18,0.35,98.02
2024-05-22 20:00:00,0.18,0.14,-21.09
2024-08-21 20:00:00,0.16,0.18,13.46
2024-11-20 21:00:00,0.15,0.2,31.67
2025-02-26 21:00:00,0.18,0.3,67.26
2025-05-21 20:00:00,0.21,0.24,13.15
2025-08-27 20:00:00,0.27,0.35,31.35
2025-12-03 21:00:00,0.31,0.35,12.49
2026-02-25 21:00:00,0.27,0.32,17.78
