Earnings Date,eps_estimate,eps_actual,eps_surprise_pct
2020-04-30 21:00:00,0.21,0.25,20.77
2020-07-30 20:00:00,0.21,0.25,21.0
2020-10-29 20:00:00,0.27,0.3,9.16
2021-01-28 21:00:00,0.32,0.37,14.47
2021-04-29 20:00:00,0.29,0.48,66.55
2021-07-29 20:00:00,0.18,0.24,32.26
2021-10-28 20:00:00,0.4,0.46,15.76
2022-01-27 21:00:00,0.39,0.5,27.82
2022-04-28 20:00:00,0.32,0.47,46.86
2022-08-04 20:00:00,0.26,0.27,2.63
2022-11-03 20:00:00,0.38,0.36,-6.25
2023-02-02 21:00:00,0.29,0.45,53.76
2023-05-04 20:00:00,0.33,0.54,62.55
2023-08-03 20:00:00,0.45,0.57,26.75
2023-11-02 20:00:00,0.54,0.65,21.12
2024-02-01 00:00:00,0.63,0.73,16.53
2024-04-25 00:00:00,0.63,0.89,41.87
2024-08-01 20:00:00,0.6,0.66,9.29
2024-10-31 20:00:00,-0.25,-0.48,-90.57
2025-01-30 21:00:00,-0.45,-0.15,66.39
2025-05-01 20:00:00,0.93,0.97,4.85
2025-08-07 20:00:00,0.85,0.98,14.62
2025-10-30 20:00:00,0.84,1.04,24.14
2026-02-05 21:00:00,-0.17,-0.16,5.21
