symbol,entry_date,exit_date,entry_price,exit_price,qty,pnl,reason,hold_days,regime,year
NBIX,2017-01-03,2017-01-09,38.73731984710693,44.91,193,1191.3272695083615,regime_exit,6,CHOPPY,2017
FCX,2017-01-03,2017-01-09,13.807559732437134,14.650640304565428,544,458.63583123779176,regime_exit,6,CHOPPY,2017
CMC,2017-01-03,2017-01-09,22.22436030578613,20.768379467010497,338,-492.12152350616435,regime_exit,6,CHOPPY,2017
SNAP,2017-03-27,2017-04-05,23.877659923553466,20.658600761413574,314,-1010.7845769119261,stop,9,CHOPPY,2017
PANW,2017-03-27,2017-04-17,18.670599872589115,18.275043155670165,402,-159.0138002014179,max_hold,21,CHOPPY,2017
METC,2017-03-27,2017-04-17,8.648895114898682,7.532700181007385,868,-968.8572026176457,stop,21,CHOPPY,2017
SNAP,2017-04-05,2017-04-25,20.741400764465332,21.297320152282715,362,201.24281838989262,max_hold,20,CHOPPY,2017
METC,2017-04-17,2017-05-01,7.562891364097595,7.211123820304871,993,-349.30517098617526,regime_exit,14,CHOPPY,2017
ALNY,2017-04-17,2017-05-01,51.05190076446533,55.24928060913086,147,617.0148371658324,regime_exit,14,CHOPPY,2017
RH,2017-04-25,2017-05-01,48.50681984710693,47.674460456848145,154,-128.18334609985325,regime_exit,6,CHOPPY,2017
TNDM,2017-07-13,2017-07-20,5.6111999044418335,6.826320152282715,1339,1627.0460118589408,take_profit,7,CHOPPY,2017
SNAP,2017-07-13,2017-07-20,15.721379579544067,14.860220342636108,478,-411.6341152420043,regime_exit,7,CHOPPY,2017
BAH,2017-07-13,2017-07-20,33.917698471069336,33.47292091369629,221,-98.2958401794427,regime_exit,7,CHOPPY,2017
THC,2017-08-17,2017-08-21,12.675299617767331,16.5268794670105,592,2280.135270751955,take_profit,4,CHOPPY,2017
RARE,2017-08-17,2017-08-23,58.06590076446533,50.91796045684814,129,-922.0842996826176,stop,6,CHOPPY,2017
STX,2017-08-17,2017-09-06,31.5730202293396,32.72442091369629,238,274.03336287689245,max_hold,20,CHOPPY,2017
MATX,2017-08-21,2017-09-11,23.627159923553467,25.948,318,738.0271443099975,max_hold,21,CHOPPY,2017
AMD,2017-08-23,2017-09-12,12.504959541320801,12.275400190353393,600,-137.73561058044487,max_hold,20,CHOPPY,2017
RARE,2017-09-06,2017-09-15,52.88555877685547,55.11953954315185,142,317.22526881408646,regime_exit,9,CHOPPY,2017
SAIC,2017-09-11,2017-09-15,61.432621376037595,63.15343878173828,122,209.93972349548366,regime_exit,4,CHOPPY,2017
MATX,2017-09-12,2017-09-15,26.272439311981202,25.938019771575927,286,-95.64398855590858,regime_exit,3,CHOPPY,2017
AMD,2017-11-15,2017-12-04,11.092139694213868,10.009939733505249,677,-732.6493733997354,stop,19,CHOPPY,2017
DXCM,2017-11-15,2017-12-05,13.026,14.471,576,832.3200000000002,max_hold,20,CHOPPY,2017
SMCI,2017-11-15,2017-12-05,1.9939800095558167,2.150689971446991,3768,590.4831364059454,max_hold,20,CHOPPY,2017
CELH,2017-12-04,2017-12-14,1.5664597005844116,1.7465,4797,863.653316296577,regime_exit,10,CHOPPY,2017
