symbol,entry_date,engine,side,regime,hold_days,ml_rank,opt_type,strike,sigma,entry_price,exit_price,equity_return,options_return,leverage,eq_pnl_1k,opt_pnl_1k,options_better
NVDA,2017-03-24,momentum,long,CHOPPY,13,1.0,30d_call_30DTE,2.66,0.16848000049591066,2.7296985783576964,2.483827658594448,-0.09007255295973915,-0.9840249664882936,27.237834946556323,-90.07255295973914,-984.0249664882937,False
SHOP,2017-04-03,meanrev,long,CHOPPY,3,0.9868073878627968,ATM_call_21DTE,6.82,0.16094000148773194,6.815999984741211,6.838296236038208,0.003271163636577362,-0.05856984817988875,61.50725562690134,3.2711636365773624,-58.56984817988876,False
ET,2017-04-05,meanrev,long,CHOPPY,1,0.9973614775725592,ATM_call_21DTE,19.44,0.1675700044631958,19.440000534057617,19.39114030456543,-0.0025133862217024284,-0.19210996433149863,58.169498812801386,-2.5133862217024285,-192.10996433149862,False
AEP,2017-04-10,meanrev,long,CHOPPY,2,1.0,ATM_call_21DTE,67.47,0.1826500024795532,67.47000122070312,67.65442091369628,0.0027333583764123422,-0.06086440514821211,53.67678943331124,2.7333583764123426,-60.86440514821212,False
MSFT,2017-03-24,momentum,long,CHOPPY,24,0.9551451187335092,30d_call_30DTE,63.93,0.16848000049591066,65.49072061157227,65.34904335021973,-0.0021633181010915076,-0.31882384229524474,28.16551158124819,-2.163318101091508,-318.8238422952448,False
COF,2017-04-17,meanrev,long,CHOPPY,1,0.992084432717678,ATM_call_21DTE,80.58,0.19057999801635742,80.58000183105469,82.834,0.027972178179780687,0.8348278728437734,51.58148412381987,27.972178179780688,834.8278728437734,True
ORCL,2017-03-27,momentum,long,CHOPPY,22,0.9736147757255936,30d_call_30DTE,43.57,0.1625,44.59901831817627,44.43096045684815,-0.0037681964237233213,-0.32824425668105345,29.073133981354523,-3.768196423723322,-328.2442566810535,False
CGNX,2017-04-13,meanrev,long,CHOPPY,6,0.9630606860158312,ATM_call_21DTE,40.6,0.20748000049591067,40.60499954223633,40.57368878173829,-0.0007711060423844777,-0.26009368600511995,47.47817096909754,-0.7711060423844777,-260.09368600511993,False
WDC,2017-04-20,meanrev,long,CHOPPY,1,0.9868073878627968,ATM_call_21DTE,63.02,0.18394999504089352,63.023433685302734,63.67435987854004,0.0103283200418371,0.20387699544488677,53.24270473397985,10.328320041837099,203.87699544488677,True
CMS,2017-04-21,meanrev,long,CHOPPY,3,0.9947229551451188,ATM_call_21DTE,44.82,0.19019000148773196,44.81999969482422,45.37906121826172,0.012473483428025534,0.21664232797221442,51.68074314668193,12.473483428025533,216.64232797221442,True
INTU,2017-04-03,momentum,long,CHOPPY,22,0.9709762532981532,30d_call_30DTE,113.62,0.16094000148773194,116.28210305786132,118.84184182739256,0.022013179175625373,0.35089682692505664,29.30828251594088,22.013179175625375,350.89682692505664,True
NRG,2017-04-21,meanrev,long,CHOPPY,5,0.9973614775725592,ATM_call_21DTE,17.26,0.19019000148773196,17.260000228881836,17.245440685272218,-0.0008435424922680429,-0.23839168773418334,51.680715818189945,-0.8435424922680429,-238.39168773418336,False
AAPL,2017-04-07,momentum,long,CHOPPY,26,0.8865435356200527,30d_call_30DTE,35.15,0.16730999851226808,36.004363929748536,36.69146939086914,0.019083949447385805,0.22585870512022962,28.312195460282226,19.083949447385805,225.85870512022964,True
WELL,2017-04-25,meanrev,long,CHOPPY,10,0.9947229551451188,ATM_call_21DTE,72.49,0.13988000297546388,72.48999786376953,69.66040304565429,-0.03903427923163824,-0.9771672758304017,68.72808951230063,-39.034279231638244,-977.1672758304018,False
TEAM,2017-04-19,momentum,long,CHOPPY,26,0.9155672823218998,30d_call_30DTE,30.78,0.19409000396728515,31.643159923553466,36.98588137054443,0.16884285450310332,3.8665574415774016,24.76026192907559,168.84285450310333,3866.557441577402,True
ADBE,2017-04-20,momentum,long,CHOPPY,26,0.941952506596306,30d_call_30DTE,127.57,0.18394999504089352,130.96139694213866,137.75393878173827,0.0518667485091098,1.03393344890535,26.012660432899455,51.866748509109804,1033.93344890535,True
FTNT,2017-05-01,momentum,long,TRENDING_BULL,29,0.9577836411609498,30d_call_30DTE,7.73,0.1314299955368042,7.875720133781433,7.814339923858642,-0.0077935996810643325,-0.6118289690885906,35.47838429584487,-7.7935996810643315,-611.8289690885906,False
MCD,2017-05-01,momentum,long,TRENDING_BULL,29,0.8601583113456465,30d_call_30DTE,137.5,0.1314299955368042,140.13972061157227,149.6301326904297,0.0677210717806564,2.0489857249821335,35.18130578787367,67.72107178065639,2048.9857249821334,True
ETN,2017-05-01,momentum,long,TRENDING_BULL,29,0.8839050131926122,30d_call_30DTE,74.62,0.1314299955368042,76.05180152893067,77.56456121826172,0.019891174948111955,0.36625933310958564,35.189872220799955,19.891174948111956,366.25933310958567,True
DLR,2017-05-03,momentum,long,TRENDING_BULL,27,0.8759894459102903,30d_call_30DTE,111.34,0.13884000396728513,113.59674275207522,117.764,0.036684654392070165,0.90446638723499,33.486240284228586,36.684654392070165,904.46638723499,True
AAPL,2017-05-04,momentum,long,TRENDING_BULL,26,0.8680738786279684,30d_call_30DTE,35.99,0.13598000049591066,36.703261070251465,38.34066454315185,0.04461193433919494,1.2018323549431653,34.150246013850236,44.61193433919494,1201.8323549431655,True
AMZN,2017-05-08,momentum,long,TRENDING_BULL,28,0.899736147757256,30d_call_30DTE,46.28,0.12701000595092773,47.141595611572264,50.46586734008789,0.07051674185800337,2.224372080330109,36.22537894633763,70.51674185800337,2224.3720803301094,True
NOW,2017-05-31,momentum,long,TRENDING_BULL,9,0.8759894459102903,30d_call_30DTE,20.73,0.13532999801635742,21.144203281402586,20.459486504372492,-0.03238319117147048,-0.746714887596249,34.09219411407197,-32.383191171470486,-746.714887596249,False
CRM,2017-05-31,momentum,long,TRENDING_BULL,9,0.8786279683377308,30d_call_30DTE,89.11,0.13532999801635742,90.87138244628903,86.1841951452453,-0.051580455528055506,-0.9164855180981142,34.26421844292705,-51.58045552805551,-916.4855180981142,False
LLY,2017-05-17,momentum,long,TRENDING_BULL,26,0.9815303430079156,30d_call_30DTE,76.9,0.20267000198364257,79.14797785949708,80.73820152282715,0.02009177879633302,0.1659043196328755,23.809317612447227,20.091778796333024,165.90431963287548,True
ADBE,2017-05-31,momentum,long,TRENDING_BULL,15,0.8812664907651715,30d_call_30DTE,140.55,0.13532999801635742,143.3260732727051,135.3003811371087,-0.05599603723410452,-0.968336576513403,34.27620695143736,-55.99603723410452,-968.336576513403,False
EBAY,2017-06-01,momentum,long,TRENDING_BULL,14,0.920844327176781,30d_call_30DTE,33.87,0.1285700044631958,34.5088786239624,33.867937562793095,-0.01857322192800112,-0.6112204238390981,35.813869557470674,-18.573221928001118,-611.2204238390981,False
AMZN,2017-06-06,momentum,long,TRENDING_BULL,9,0.8970976253298153,30d_call_30DTE,49.71,0.1358499975204468,50.70119847106933,47.67768516803071,-0.05963396121225556,-0.9513595963766559,34.067830221765476,-59.633961212255564,-951.359596376656,False
INTU,2017-05-16,momentum,long,TRENDING_BULL,41,0.8865435356200527,30d_call_30DTE,125.3,0.13844999504089353,127.8351618347168,138.1231939086914,0.08047889114636875,2.3659915177001785,33.55576414607904,80.47889114636874,2365.9915177001785,True
NVDA,2017-05-31,momentum,long,TRENDING_BULL,26,0.9894459102902374,30d_call_30DTE,3.6,0.13532999801635742,3.6745844178199767,3.796142538070679,0.0330807804172911,0.8031643338420794,33.51131430586939,33.08078041729111,803.1643338420794,True
MU,2017-06-22,momentum,long,TRENDING_BULL,25,0.9234828496042216,30d_call_30DTE,31.48,0.13623999404907228,32.104080917358395,31.656559314727783,-0.01393971077330051,-0.6779169994712431,34.11634318631583,-13.93971077330051,-677.916999471243,False
MSFT,2017-06-22,momentum,long,TRENDING_BULL,25,0.9577836411609498,30d_call_30DTE,69.3,0.13623999404907228,70.6810809173584,73.20329847717285,0.03568447917149814,0.8977545522755551,34.03332138140339,35.68447917149814,897.7545522755552,True
SHOP,2017-07-18,meanrev,long,CHOPPY,1,1.0,ATM_call_21DTE,9.13,0.1285700044631958,9.128999710083008,9.299363840103153,0.018661861696849146,0.8088503322672698,74.54442891850859,18.661861696849147,808.8503322672698,True
AMD,2017-07-19,meanrev,long,CHOPPY,1,0.9894459102902374,ATM_call_21DTE,13.62,0.12726999950408935,13.619999885559082,13.772400190353393,0.011189449785230666,0.4034090426321647,74.91712669481596,11.189449785230666,403.4090426321647,True
ORCL,2017-06-27,momentum,long,TRENDING_BULL,27,0.8918205804749341,30d_call_30DTE,49.81,0.1437800054550171,50.8515,50.65847832489014,-0.003795791178428586,-0.4324123211072766,32.498066138868644,-3.7957911784285856,-432.4123211072766,False
FTNT,2017-06-27,momentum,long,TRENDING_BULL,27,0.9102902374670184,30d_call_30DTE,7.39,0.1437800054550171,7.54105202293396,8.093779657363891,0.07329582566848329,2.0752988341928753,32.838711368630946,73.29582566848327,2075.298834192875,True
BSX,2017-06-27,momentum,long,TRENDING_BULL,27,0.8759894459102903,30d_call_30DTE,27.26,0.1437800054550171,27.8355606880188,27.564760837554932,-0.009728557419733474,-0.5975027783517217,32.35154721177939,-9.728557419733475,-597.5027783517216,False
BA,2017-06-27,momentum,long,TRENDING_BULL,27,0.9683377308707124,30d_call_30DTE,196.09,0.1437800054550171,200.19960305786137,211.75563269042968,0.0577225401851991,1.5507108577439628,32.46334254643424,57.7225401851991,1550.7108577439628,True
INTU,2017-06-28,momentum,long,TRENDING_BULL,26,0.9815303430079156,30d_call_30DTE,133.18,0.13038999652862548,135.7208969421387,135.9775,0.001890667271162337,-0.245278082842626,35.406457390288246,1.8906672711623367,-245.278082842626,False
KEY,2017-07-18,meanrev,long,CHOPPY,7,0.9261213720316622,ATM_call_21DTE,19.0,0.1285700044631958,19.0,18.443039543151855,-0.02931370825516554,-0.9153772168500022,74.22813765978304,-29.313708255165537,-915.3772168500022,False
AAPL,2017-06-30,momentum,long,TRENDING_BULL,26,0.8733509234828496,30d_call_30DTE,35.43,0.14534000396728514,36.18472423553467,38.28827167510986,0.058133576640869836,1.5465628061033236,32.064408609720466,58.13357664086984,1546.5628061033237,True
NOW,2017-07-27,momentum,long,TRENDING_BULL,12,0.8680738786279684,30d_call_30DTE,22.64,0.1314299955368042,23.072051067352294,21.439205426921298,-0.07077158574521043,-0.9895319754431762,35.278927119785095,-70.77158574521043,-989.5319754431762,False
