sym,earnings_date,strike,iv_t10,iv_t2,iv_ramp,stock_t10,stock_t2,ramp_entry_straddle,ramp_exit_straddle,ramp_pnl,ramp_return
NVDA,2024-02-21,720,0.6707,1.7429,2.5986282987923066,721.59,681.76,77.10999999999999,93.44000000000003,16.33000000000004,0.21177538581247626
NVDA,2024-05-22,950,0.7173,1.0316,1.438170918722989,897.05,949.38,112.8300000000001,82.41999999999999,-30.41000000000011,-0.2695205175928395
NVDA,2024-08-28,128,0.732,1.3291,1.8157103825136611,117.83,126.67,17.44999999999999,14.149999999999995,-3.2999999999999936,-0.18911174785100263
NVDA,2024-11-20,145,0.6302,1.0469,1.6612186607426214,145.46,140.62,15.239999999999986,12.980000000000008,-2.2599999999999785,-0.1482939632545919
AAPL,2024-02-01,185,0.3011,0.532,1.766854865493192,188.18,188.1,11.360000000000003,6.500000000000017,-4.859999999999986,-0.42781690140844936
AAPL,2024-05-02,170,0.3266,0.6242,1.9112063686466625,166.92,169.69,9.48,8.009999999999996,-1.4700000000000042,-0.15506329113924094
AAPL,2024-08-01,220,0.3448,0.6814,1.9762180974477959,224.97,217.15,10.030000000000001,13.489999999999988,3.4599999999999866,0.3449651046859408
AAPL,2024-10-31,230,0.2833,0.5984,2.112248499823509,232.08,232.66,9.619999999999981,10.340000000000003,0.720000000000022,0.07484407484407728
META,2024-02-01,395,0.4913,1.3785,2.8058212904538977,376.72,389.62,43.27999999999997,39.379999999999995,-3.8999999999999773,-0.09011090573012892
META,2024-04-24,495,0.6007,1.0101,1.6815382054270018,518.67,483.66,44.33000000000004,42.339999999999975,-1.990000000000066,-0.0448905932776915
META,2024-07-31,470,0.6474,1.0986,1.6969416126042633,462.35,466.16,35.64999999999998,39.839999999999975,4.189999999999998,0.11753155680224404
META,2024-10-30,580,0.5514,0.9675,1.7546245919477694,576.36,578.4,45.639999999999986,38.60000000000002,-7.039999999999964,-0.15425065731814122
AMZN,2024-02-01,155,0.4212,1.4659,3.4802943969610634,153.47,154.72,10.530000000000001,14.280000000000001,3.75,0.35612535612535606
AMZN,2024-04-30,180,0.4725,0.6814,1.4421164021164021,183.41,179.72,13.590000000000003,11.479999999999995,-2.1100000000000083,-0.15526122148638763
AMZN,2024-08-01,185,0.5229,1.4443,2.7620960030598583,184.24,175.18,13.759999999999991,29.819999999999993,16.060000000000002,1.1671511627906985
AMZN,2024-10-31,190,0.4252,0.7071,1.6629821260583253,187.76,193.46,12.240000000000009,13.539999999999992,1.299999999999983,0.10620915032679591
