symbol,ml_score,px,vol60,candidate,regime,date,rank
SOFI,0.6032,15.95,0.478,False,CHOPPY,2026-03-26,1
HOOD,0.5984,69.83,0.705,False,CHOPPY,2026-03-26,2
TTD,0.5929,21.61,0.621,False,CHOPPY,2026-03-26,3
UPST,0.5886,25.44,0.748,False,CHOPPY,2026-03-26,4
DASH,0.5815,150.51,0.44,False,CHOPPY,2026-03-26,5
SMCI,0.5768,21.94,0.99,False,CHOPPY,2026-03-26,6
WING,0.5745,158.93,0.703,False,CHOPPY,2026-03-26,7
ASAN,0.5739,6.11,0.563,False,CHOPPY,2026-03-26,8
PTON,0.5718,3.96,0.719,False,CHOPPY,2026-03-26,9
RDDT,0.5628,126.0,0.641,False,CHOPPY,2026-03-26,10
DKNG,0.5626,21.05,0.544,False,CHOPPY,2026-03-26,11
INSP,0.5575,51.02,0.645,False,CHOPPY,2026-03-26,12
GTLB,0.5568,21.14,0.597,False,CHOPPY,2026-03-26,13
MNDY,0.5566,68.5,0.68,False,CHOPPY,2026-03-26,14
LLY,0.5563,902.76,0.414,False,CHOPPY,2026-03-26,15
NU,0.5561,14.03,0.431,False,CHOPPY,2026-03-26,16
APP,0.5551,396.47,0.96,False,CHOPPY,2026-03-26,17
CG,0.5524,46.45,0.433,False,CHOPPY,2026-03-26,18
BX,0.5519,108.84,0.419,False,CHOPPY,2026-03-26,19
BRO,0.5512,64.42,0.306,False,CHOPPY,2026-03-26,20
AVAV,0.5495,196.47,0.922,False,CHOPPY,2026-03-26,21
SNAP,0.5494,4.04,0.536,False,CHOPPY,2026-03-26,22
TEAM,0.5493,67.58,0.652,False,CHOPPY,2026-03-26,23
KKR,0.5491,89.15,0.47,False,CHOPPY,2026-03-26,24
DUOL,0.5467,97.97,0.605,False,CHOPPY,2026-03-26,25
MU,0.546,362.75,0.704,False,CHOPPY,2026-03-26,26
COIN,0.5458,172.04,0.857,False,CHOPPY,2026-03-26,27
ARES,0.5436,106.68,0.561,False,CHOPPY,2026-03-26,28
KTOS,0.5406,77.11,0.879,False,CHOPPY,2026-03-26,29
STEM,0.5402,9.81,0.876,False,CHOPPY,2026-03-26,30
NVDA,0.5401,173.7,0.346,False,CHOPPY,2026-03-26,31
WDC,0.5379,281.51,0.865,False,CHOPPY,2026-03-26,32
COF,0.5376,180.96,0.409,False,CHOPPY,2026-03-26,33
APO,0.5373,109.26,0.433,False,CHOPPY,2026-03-26,34
STRL,0.5366,421.18,0.586,False,CHOPPY,2026-03-26,35
CELH,0.5361,35.37,0.532,False,CHOPPY,2026-03-26,36
VRT,0.5352,255.82,0.73,False,CHOPPY,2026-03-26,37
EL,0.5344,70.97,0.613,False,CHOPPY,2026-03-26,38
UBER,0.534,71.24,0.335,False,CHOPPY,2026-03-26,39
THC,0.5339,197.35,0.468,False,CHOPPY,2026-03-26,40
AJG,0.5331,211.4,0.343,False,CHOPPY,2026-03-26,41
LRCX,0.5329,215.38,0.615,False,CHOPPY,2026-03-26,42
RUN,0.5322,12.71,1.02,False,CHOPPY,2026-03-26,43
PRGO,0.5318,9.73,0.445,False,CHOPPY,2026-03-26,44
GDRX,0.5299,2.06,0.77,False,CHOPPY,2026-03-26,45
RH,0.5292,133.57,0.622,False,CHOPPY,2026-03-26,46
SHOP,0.5288,117.29,0.613,False,CHOPPY,2026-03-26,47
GOOGL,0.5283,284.0,0.227,False,CHOPPY,2026-03-26,48
PINS,0.528,17.95,0.61,False,CHOPPY,2026-03-26,49
ANET,0.5277,125.44,0.555,False,CHOPPY,2026-03-26,50
KEY,0.5276,19.75,0.265,False,CHOPPY,2026-03-26,51
DOCS,0.5274,24.31,0.54,False,CHOPPY,2026-03-26,52
EXAS,0.5273,104.91,0.032,False,CHOPPY,2026-03-26,53
IMAX,0.5266,37.8,0.44,False,CHOPPY,2026-03-26,54
MP,0.526,51.93,0.719,False,CHOPPY,2026-03-26,55
AXON,0.5258,451.18,0.658,False,CHOPPY,2026-03-26,56
ABBV,0.5253,209.68,0.276,False,CHOPPY,2026-03-26,57
V,0.5251,303.3,0.23,False,CHOPPY,2026-03-26,58
AVGO,0.5251,312.09,0.377,False,CHOPPY,2026-03-26,59
AFRM,0.525,45.1,0.603,False,CHOPPY,2026-03-26,60
NTRA,0.5248,195.73,0.429,False,CHOPPY,2026-03-26,61
ZG,0.5247,42.95,0.562,False,CHOPPY,2026-03-26,62
WAL,0.5247,69.72,0.429,False,CHOPPY,2026-03-26,63
LVS,0.5243,52.63,0.394,False,CHOPPY,2026-03-26,64
PAYC,0.5241,121.35,0.419,False,CHOPPY,2026-03-26,65
CAT,0.5237,703.38,0.366,False,CHOPPY,2026-03-26,66
NRG,0.5235,146.79,0.499,False,CHOPPY,2026-03-26,67
GE,0.5235,286.44,0.355,False,CHOPPY,2026-03-26,68
NOW,0.5234,103.61,0.488,False,CHOPPY,2026-03-26,69
CFLT,0.5233,30.99,0.041,False,CHOPPY,2026-03-26,70
DECK,0.523,95.39,0.522,False,CHOPPY,2026-03-26,71
META,0.5229,554.55,0.38,False,CHOPPY,2026-03-26,72
TOST,0.5229,26.55,0.498,False,CHOPPY,2026-03-26,73
BA,0.5228,194.95,0.301,False,CHOPPY,2026-03-26,74
MDB,0.5227,246.78,0.751,False,CHOPPY,2026-03-26,75
RKLB,0.5225,67.85,0.873,False,CHOPPY,2026-03-26,76
GS,0.5222,820.55,0.344,False,CHOPPY,2026-03-26,77
HUBS,0.5221,242.67,0.719,False,CHOPPY,2026-03-26,78
TJX,0.5215,158.68,0.174,False,CHOPPY,2026-03-26,79
AMAT,0.5215,348.27,0.534,False,CHOPPY,2026-03-26,80
AXP,0.5206,296.35,0.318,False,CHOPPY,2026-03-26,81
WRBY,0.5204,22.68,0.798,False,CHOPPY,2026-03-26,82
NEM,0.5203,99.33,0.542,False,CHOPPY,2026-03-26,83
BILL,0.52,38.27,0.955,False,CHOPPY,2026-03-26,84
HUM,0.5197,173.18,0.572,False,CHOPPY,2026-03-26,85
KLAC,0.5193,1471.68,0.594,False,CHOPPY,2026-03-26,86
ORCL,0.5189,143.19,0.518,False,CHOPPY,2026-03-26,87
HII,0.5186,389.85,0.44,False,CHOPPY,2026-03-26,88
METC,0.5185,13.41,0.972,False,CHOPPY,2026-03-26,89
FSLR,0.5184,190.62,0.55,False,CHOPPY,2026-03-26,90
PRVA,0.5182,20.13,0.396,False,CHOPPY,2026-03-26,91
MKC,0.5181,52.21,0.357,False,CHOPPY,2026-03-26,92
MSC,0.5178,2.5,0.759,False,CHOPPY,2026-03-26,93
INTU,0.5176,433.06,0.522,False,CHOPPY,2026-03-26,94
BE,0.5174,134.15,1.042,False,CHOPPY,2026-03-26,95
ZION,0.5169,56.65,0.309,False,CHOPPY,2026-03-26,96
CNC,0.5168,33.0,0.54,False,CHOPPY,2026-03-26,97
BOOT,0.5167,156.02,0.419,False,CHOPPY,2026-03-26,98
ULTA,0.5161,528.21,0.404,False,CHOPPY,2026-03-26,99
WSM,0.5156,179.9,0.372,False,CHOPPY,2026-03-26,100
PSTG,0.5154,63.42,0.599,False,CHOPPY,2026-03-26,101
CGNX,0.5152,50.14,0.834,False,CHOPPY,2026-03-26,102
STX,0.5135,388.89,0.822,False,CHOPPY,2026-03-26,103
POOL,0.5134,199.17,0.411,False,CHOPPY,2026-03-26,104
CMG,0.5129,32.38,0.345,False,CHOPPY,2026-03-26,105
LPLA,0.5128,300.43,0.422,False,CHOPPY,2026-03-26,106
WYNN,0.5126,100.07,0.369,False,CHOPPY,2026-03-26,107
MSFT,0.5122,367.25,0.321,False,CHOPPY,2026-03-26,108
ANF,0.5118,90.9,0.563,False,CHOPPY,2026-03-26,109
CME,0.5114,297.69,0.23,False,CHOPPY,2026-03-26,110
AMCR,0.5114,40.22,0.374,False,CHOPPY,2026-03-26,111
RF,0.5113,25.56,0.276,False,CHOPPY,2026-03-26,112
ACAD,0.511,21.49,0.404,False,CHOPPY,2026-03-26,113
SBUX,0.5105,91.23,0.297,False,CHOPPY,2026-03-26,114
PLNT,0.51,75.48,0.344,False,CHOPPY,2026-03-26,115
ADBE,0.51,239.98,0.372,False,CHOPPY,2026-03-26,116
BKNG,0.5097,4217.3,0.421,False,CHOPPY,2026-03-26,117
MPWR,0.5094,1088.0,0.454,False,CHOPPY,2026-03-26,118
ESTC,0.5093,51.18,0.601,False,CHOPPY,2026-03-26,119
RIVN,0.5092,15.41,0.749,False,CHOPPY,2026-03-26,120
WWD,0.509,359.35,0.417,False,CHOPPY,2026-03-26,121
EBAY,0.5086,89.66,0.365,False,CHOPPY,2026-03-26,122
PODD,0.5081,218.79,0.33,False,CHOPPY,2026-03-26,123
FITB,0.508,45.3,0.313,False,CHOPPY,2026-03-26,124
ZS,0.5077,141.25,0.571,False,CHOPPY,2026-03-26,125
GIS,0.5076,36.19,0.299,False,CHOPPY,2026-03-26,126
ALNY,0.5075,331.24,0.382,False,CHOPPY,2026-03-26,127
XPO,0.5075,188.98,0.527,False,CHOPPY,2026-03-26,128
ERIE,0.5075,240.65,0.318,False,CHOPPY,2026-03-26,129
WELL,0.5075,196.75,0.222,False,CHOPPY,2026-03-26,130
SCHW,0.5074,93.85,0.269,False,CHOPPY,2026-03-26,131
MRNA,0.5073,53.3,0.806,False,CHOPPY,2026-03-26,132
PGR,0.507,203.91,0.275,False,CHOPPY,2026-03-26,133
MTZ,0.5065,315.52,0.406,False,CHOPPY,2026-03-26,134
IP,0.5065,36.01,0.465,False,CHOPPY,2026-03-26,135
MS,0.5061,163.35,0.332,False,CHOPPY,2026-03-26,136
ALB,0.5059,177.29,0.62,False,CHOPPY,2026-03-26,137
WTW,0.5059,287.8,0.358,False,CHOPPY,2026-03-26,138
ETSY,0.5058,48.36,0.546,False,CHOPPY,2026-03-26,139
PCTY,0.5057,111.15,0.474,False,CHOPPY,2026-03-26,140
PLTR,0.5056,149.19,0.533,False,CHOPPY,2026-03-26,141
SHAK,0.5055,85.98,0.467,False,CHOPPY,2026-03-26,142
C,0.5055,112.12,0.36,False,CHOPPY,2026-03-26,143
SNPS,0.5053,404.41,0.429,False,CHOPPY,2026-03-26,144
BLK,0.5051,968.89,0.322,False,CHOPPY,2026-03-26,145
SFM,0.505,77.25,0.426,False,CHOPPY,2026-03-26,146
BK,0.505,116.23,0.26,False,CHOPPY,2026-03-26,147
CEG,0.5049,293.28,0.545,False,CHOPPY,2026-03-26,148
CMA,0.5048,88.67,0.27,False,CHOPPY,2026-03-26,149
MET,0.5047,69.54,0.271,False,CHOPPY,2026-03-26,150
VEEV,0.5047,179.98,0.388,False,CHOPPY,2026-03-26,151
HPE,0.5042,25.16,0.449,False,CHOPPY,2026-03-26,152
HSY,0.504,211.51,0.295,False,CHOPPY,2026-03-26,153
PNC,0.5039,204.55,0.253,False,CHOPPY,2026-03-26,154
ADI,0.5037,318.46,0.309,False,CHOPPY,2026-03-26,155
WDAY,0.5037,127.36,0.469,False,CHOPPY,2026-03-26,156
TXRH,0.5035,167.76,0.237,False,CHOPPY,2026-03-26,157
CFG,0.5031,58.59,0.305,False,CHOPPY,2026-03-26,158
RJF,0.503,143.89,0.302,False,CHOPPY,2026-03-26,159
AON,0.5028,322.14,0.302,False,CHOPPY,2026-03-26,160
CB,0.5025,323.91,0.192,False,CHOPPY,2026-03-26,161
TOL,0.5024,133.95,0.338,False,CHOPPY,2026-03-26,162
AMZN,0.5024,210.27,0.299,False,CHOPPY,2026-03-26,163
ALLY,0.5023,38.94,0.3,False,CHOPPY,2026-03-26,164
TRV,0.5017,289.66,0.176,False,CHOPPY,2026-03-26,165
PYPL,0.5016,45.1,0.534,False,CHOPPY,2026-03-26,166
VST,0.5014,148.6,0.597,False,CHOPPY,2026-03-26,167
DELL,0.5014,180.35,0.663,False,CHOPPY,2026-03-26,168
FDS,0.5013,196.06,0.48,False,CHOPPY,2026-03-26,169
PWR,0.501,558.77,0.378,False,CHOPPY,2026-03-26,170
MA,0.501,500.83,0.253,False,CHOPPY,2026-03-26,171
RARE,0.5008,20.01,0.653,False,CHOPPY,2026-03-26,172
HBAN,0.5005,15.4,0.317,False,CHOPPY,2026-03-26,173
ENPH,0.5005,40.68,1.018,False,CHOPPY,2026-03-26,174
TFC,0.5004,44.75,0.262,False,CHOPPY,2026-03-26,175
JNJ,0.5003,240.68,0.162,False,CHOPPY,2026-03-26,176
SPG,0.5002,182.17,0.211,False,CHOPPY,2026-03-26,177
PRU,0.5002,94.53,0.266,False,CHOPPY,2026-03-26,178
CPB,0.5001,21.08,0.346,False,CHOPPY,2026-03-26,179
SBAC,0.5,166.26,0.294,False,CHOPPY,2026-03-26,180
MCD,0.4999,309.91,0.162,False,CHOPPY,2026-03-26,181
MTB,0.4996,203.48,0.242,False,CHOPPY,2026-03-26,182
MRVL,0.4996,97.3,0.562,False,CHOPPY,2026-03-26,183
MRK,0.4987,119.43,0.234,False,CHOPPY,2026-03-26,184
GILD,0.4986,137.55,0.303,False,CHOPPY,2026-03-26,185
TSLA,0.4984,377.4,0.343,False,CHOPPY,2026-03-26,186
BAC,0.4984,48.1,0.254,False,CHOPPY,2026-03-26,187
CHTR,0.4981,216.06,0.418,False,CHOPPY,2026-03-26,188
WBD,0.4976,27.16,0.161,False,CHOPPY,2026-03-26,189
BSX,0.4975,70.6,0.441,False,CHOPPY,2026-03-26,190
ABNB,0.4975,131.6,0.348,False,CHOPPY,2026-03-26,191
O,0.4973,60.55,0.169,False,CHOPPY,2026-03-26,192
INCY,0.4973,92.71,0.34,False,CHOPPY,2026-03-26,193
CLX,0.4972,104.03,0.283,False,CHOPPY,2026-03-26,194
MGM,0.4969,37.13,0.461,False,CHOPPY,2026-03-26,195
