symbol,entry_date,exit_date,entry_price,exit_price,qty,pnl,reason,ml_rank_pct,rule_score,combined_score,side
NVDA,2017-03-24,2017-04-04,2.7256122032403947,2.532909191116532,14774,-2920.8643011179465,stop,1.0,0.40575285477500644,1.0,long
MSFT,2017-03-24,2017-04-05,65.39268061065674,65.52721755981446,535,69.3022677993803,max_hold,0.9325842696629213,0.39781737677384243,1.0,long
AMZN,2017-03-27,2017-04-10,41.924451353073124,45.329325189590456,584,1985.526320526122,max_hold,0.8455056179775281,0.37650627615268245,1.0,long
ORCL,2017-03-27,2017-04-10,44.53225332069397,43.978,4,-2.2370132827758664,max_hold,0.9213483146067416,0.4016970921208548,1.0,long
FTNT,2017-04-05,2017-04-17,7.571783839702606,7.610192843675613,3237,108.14494586062493,max_hold,0.8595505617977528,0.4511413806473761,1.0,long
MCD,2017-04-05,2017-04-17,129.95494438934327,131.28433110046387,98,129.78989768981933,max_hold,0.9691011235955056,0.41083117506743483,1.0,long
MSFT,2017-04-06,2017-04-18,65.63279847335815,65.35730438995361,533,-149.50334645461902,max_hold,0.9466292134831461,0.4083726691234209,1.0,long
TSLA,2017-04-06,2017-04-18,19.80189581680298,20.00665807914734,8,1.598098098754881,max_hold,0.8426966292134831,0.5869403551547104,1.0,long
AMZN,2017-04-11,2017-04-24,45.37467719078064,45.34781340789795,540,-17.20644275665013,max_hold,0.8426966292134831,0.4593219690577299,1.0,long
ORCL,2017-04-11,2017-04-24,43.91194438934326,44.817580152511596,48,43.23051663208003,max_hold,0.9044943820224719,0.37860776229701204,1.0,long
ADBE,2017-04-18,2017-05-01,129.80487549591064,135.0424456100464,229,1198.25855613709,max_hold,0.901685393258427,0.433279055291539,1.0,long
CCI,2017-04-18,2017-05-01,96.25810408401489,94.64265744018553,80,-129.63573150634866,max_hold,0.8061797752808989,0.476102583666276,1.0,long
MSFT,2017-04-19,2017-05-01,65.68282652664185,69.37529866027832,533,1965.4226472282392,max_hold,0.9438202247191011,0.38618000173494893,1.0,long
NVDA,2017-04-20,2017-05-02,2.508003481864929,2.5857063932418827,28,2.0356815185547075,max_hold,0.9971910112359551,0.1954507378383444,1.0,long
INTU,2017-04-25,2017-05-08,118.9794581680298,126.10691316986086,223,1588.3074654083277,max_hold,0.9410112359550562,0.26376544367786703,1.0,long
FTNT,2017-04-25,2017-05-08,8.040018251895905,7.952021851301193,12,-1.115956807136539,max_hold,0.8230337078651685,0.5827416023209632,1.0,long
NVDA,2017-05-04,2017-05-10,2.613806202292442,2.8860962967482404,15,4.0093514168369735,stop,0.9887640449438202,0.3516509800179816,1.0,long
MSFT,2017-05-02,2017-05-15,69.74485408401489,68.3957853050232,426,-576.8332998504613,max_hold,0.9101123595505618,0.5100957733429965,1.0,long
AAPL,2017-05-02,2017-05-15,36.90344082069397,38.90553673744202,948,1893.2469290771485,max_hold,0.9325842696629213,0.5144359154472655,1.0,long
ADBE,2017-05-03,2017-05-15,135.05750049591063,137.53120610046386,80,197.4964483642585,max_hold,0.9185393258426966,0.4838243961197318,1.0,long
ADBE,2017-05-17,2017-05-18,137.26859694671631,132.39796395555445,165,-804.4794435417085,stop,0.9213483146067416,0.4964862265682322,1.0,long
INTU,2017-05-09,2017-05-22,126.28311122131348,127.09642366027832,223,180.25367388915998,max_hold,0.9719101123595506,0.4354387485109502,1.0,long
AMZN,2017-05-10,2017-05-22,47.69883673667908,48.50923392105103,1,0.8053971843719506,max_hold,0.800561797752809,0.47174355320489214,1.0,long
NVDA,2017-05-11,2017-05-23,3.0027506536245347,3.424037142157555,16,6.660583816528321,max_hold,1.0,0.831098897592893,1.0,long
MSFT,2017-05-16,2017-05-30,68.26411835861207,70.37479866027832,436,918.076611526485,max_hold,0.9269662921348315,0.41575456998859683,1.0,long
AAPL,2017-05-16,2017-05-30,39.00449311065674,38.39829079246521,628,-383.8350558242795,max_hold,0.8258426966292135,0.48995993528942994,1.0,long
ADBE,2017-05-19,2017-05-31,135.24758267211914,141.7890706100464,162,1058.9110459442159,max_hold,0.9101123595505618,0.4371332945618304,1.0,long
INTU,2017-05-23,2017-06-05,127.86390305328368,142.57866889953613,222,3265.568017868043,max_hold,0.9353932584269663,0.42723176669129626,1.0,long
NVDA,2017-05-24,2017-06-05,3.525761929392815,3.698399785399437,26,4.358584256172171,max_hold,0.9438202247191011,0.6296325882503665,1.0,long
MU,2017-05-31,2017-06-09,31.025505228996277,29.837430914316275,790,-942.5287085972012,stop,0.8342696629213483,0.5828071292511764,1.0,long
MSFT,2017-05-31,2017-06-09,70.56526377868653,69.73930699018669,347,-288.3420056094436,stop,0.8117977528089888,0.4414746305324488,1.0,long
AAPL,2017-06-01,2017-06-09,38.31164579200745,37.47285692548202,639,-539.1810857097477,stop,0.8342696629213483,0.3908971915669632,1.0,long
SHOP,2017-06-01,2017-06-09,9.25362409543991,8.95137743703833,462,-141.94795618153023,stop,0.9859550561797753,0.5784685659419196,1.0,long
NVDA,2017-06-06,2017-06-09,3.6973476469516755,3.5898191789789933,8050,-905.854167180092,stop,0.9044943820224719,0.7630710578383867,1.0,long
INTU,2017-06-06,2017-06-19,142.25108267211914,140.679625,13,-20.493949737548977,max_hold,0.9438202247191011,0.5030440783025879,1.0,long
MU,2017-06-12,2017-06-26,30.075029465675353,32.48375,1164,2797.930701953889,max_hold,0.9578651685393258,0.47175783185154213,1.0,long
SHOP,2017-06-12,2017-06-26,9.005500904560089,9.199398472785948,4471,844.5610275378157,max_hold,0.9971910112359551,0.46359786035508904,1.0,long
MO,2017-06-13,2017-06-26,74.75736122131347,76.49173377990722,394,681.3727880859366,max_hold,0.9550561797752809,0.42695767196411355,1.0,long
BLK,2017-06-20,2017-07-03,426.71325,428.60559732055657,4,7.549389282226212,max_hold,0.949438202247191,0.5137116104679537,1.0,long
CB,2017-06-20,2017-07-03,147.18355561065673,146.27683110046388,1,-0.911724510192845,max_hold,0.9044943820224719,0.44479389864963675,1.0,long
NVDA,2017-06-26,2017-07-03,3.8809394484758375,3.4800861584035205,3,-1.2175598702169508,stop,0.8202247191011236,0.5543160394817165,1.0,long
MSFT,2017-06-27,2017-07-10,70.14505561065674,69.94501335525513,424,-86.93791629028374,max_hold,0.901685393258427,0.3679970313792415,1.0,long
AAPL,2017-06-27,2017-07-10,36.27062487602234,36.246866889953615,965,-27.75145655631805,max_hold,0.9438202247191011,0.21558035352984792,1.0,long
ORCL,2017-06-28,2017-07-10,51.09553469467163,49.59518893241882,479,-721.0606201190941,max_hold,0.848314606741573,0.5289581917417691,1.0,long
ICE,2017-07-05,2017-07-17,66.69333366394044,65.7870896949768,325,-296.1542899131818,max_hold,0.848314606741573,0.48715718248654577,1.0,long
MU,2017-07-11,2017-07-24,30.565274236679077,31.654165076255797,1145,1241.055011315345,max_hold,0.9466292134831461,0.38142066862689206,1.0,long
MSFT,2017-07-11,2017-07-24,70.035,73.56319847488403,350,1233.1194662094126,max_hold,0.8567415730337079,0.37414729127047647,1.0,long
NVDA,2017-07-12,2017-07-24,3.959478730916977,4.151673067808151,6190,1158.732945356366,max_hold,0.8539325842696629,0.5861537660550087,1.0,long
ORCL,2017-07-12,2017-07-24,50.045010457992554,50.734618322372434,86,58.8762763366697,max_hold,0.8033707865168539,0.44930955288969704,1.0,long
AAPL,2017-07-13,2017-07-25,36.3931875,38.16590887260437,1,1.767721372604366,max_hold,0.8876404494382022,0.29564600345680475,1.0,long
AAPL,2017-07-27,2017-07-27,38.45671875,37.01102034397605,1,-1.4506984060239505,stop,0.952247191011236,0.4500338486352287,1.0,long
INTU,2017-07-18,2017-07-31,132.75634744262695,137.14140171051025,161,705.1887371292122,max_hold,0.9438202247191011,0.24612861067383637,1.0,long
AVGO,2017-07-25,2017-07-31,25.29264068698883,24.550749030933847,969,-723.7380147172773,stop,0.8651685393258427,0.427318210202966,1.0,long
MSFT,2017-07-26,2017-08-02,74.37716633605957,71.73807853154034,107,-282.9173950835582,stop,0.8792134831460674,0.4482871175546811,1.0,long
ORCL,2017-07-25,2017-08-07,50.93545484733581,49.61517938995361,584,-773.9608671112059,max_hold,0.9073033707865169,0.395274493376496,1.0,long
NVDA,2017-07-26,2017-08-07,4.194095912218094,4.306595777511597,7096,762.8190441226986,max_hold,0.9213483146067416,0.5571452178399845,1.0,long
AAPL,2017-07-28,2017-08-09,37.491236097335815,40.24486688995361,1,2.7486307926177984,max_hold,0.8876404494382022,0.41468509727882585,1.0,long
INTU,2017-08-01,2017-08-14,137.70881938934326,138.8205543899536,254,281.11069015502585,max_hold,0.9410112359550562,0.44403315543923955,1.0,long
ADBE,2017-08-01,2017-08-14,147.55373572540284,149.0854236602783,73,111.44821924590887,max_hold,0.8455056179775281,0.40609874809614527,0.9581799048086417,long
MU,2017-08-03,2017-08-15,28.404194389343264,29.665160305023193,274,344.1346608963005,max_hold,0.9382022471910112,0.20886908656220562,1.0,long
SCHW,2017-08-10,2017-08-17,41.61079515266418,39.65606752997234,10,-19.597276226918414,stop,0.851123595505618,0.2387340545341052,1.0,long
BLK,2017-08-08,2017-08-18,428.01388778686515,416.03497491783145,44,-527.2921662374831,stop,0.9634831460674157,0.3458157169496112,1.0,long
SHOP,2017-08-08,2017-08-21,9.797896721363065,9.622186355113984,4110,-742.7196052837241,max_hold,0.9971910112359551,0.4162553029500372,1.0,long
CB,2017-08-16,2017-08-24,148.48420866394042,143.21561773002216,54,-284.7739104315861,stop,0.8314606741573034,0.37157180478297913,1.0,long
ANET,2017-08-15,2017-08-28,10.69284375,10.876434100627899,3766,672.571260464667,max_hold,0.9971910112359551,0.4532933479974654,1.0,long
AXP,2017-08-15,2017-08-28,86.03299286270142,85.36729866027832,68,-45.60720576477061,max_hold,0.8398876404494382,0.407683403719057,1.0,long
NVDA,2017-08-18,2017-08-30,4.093796020030975,4.139929198265076,124,5.1005141010284705,max_hold,0.9662921348314607,0.3588004240284799,1.0,long
NRG,2017-08-21,2017-09-05,25.77288022899628,24.2373031221539,710,-1093.8097458580887,stop,0.9859550561797753,0.5807678326091638,1.0,long
VRTX,2017-08-22,2017-09-05,149.26459744262695,158.99047232055665,164,1594.2234799804705,max_hold,0.8595505617977528,0.33244764876864774,1.0,long
NEE,2017-08-25,2017-09-06,37.43370841598511,37.04396875,608,-240.00171691894755,max_hold,0.9887640449438202,0.40271483006059916,1.0,long
DUK,2017-08-29,2017-09-11,87.59377805328369,88.29582633972169,339,236.299369102482,max_hold,0.9243697478991597,0.40445746416339673,1.0,long
D,2017-08-29,2017-09-11,80.2400969467163,79.88003816986084,212,-77.39246069335911,max_hold,0.969187675070028,0.4201729364469341,1.0,long
LLY,2017-08-31,2017-09-12,80.81038164138793,82.12891316986084,7,9.19472069931032,max_hold,0.8431372549019608,0.2913168144535934,1.0,long
NRG,2017-09-06,2017-09-14,24.532260457992553,23.04530686984556,765,-1141.3444949324492,stop,0.9915966386554622,0.45177352764994344,1.0,long
ORCL,2017-09-12,2017-09-15,52.666319389343265,50.366398028301575,424,-977.2866570816767,stop,0.9187675070028011,0.5696836219113736,1.0,long
MRVL,2017-09-06,2017-09-18,17.93896530532837,18.420785305023195,1366,651.3361195831302,max_hold,0.865546218487395,0.4985271696700461,1.0,long
LIN,2017-09-07,2017-09-19,132.26609694671632,136.44173950958253,170,709.0092356872566,max_hold,0.8599439775910365,0.30931111200580963,1.0,long
AVGO,2017-09-13,2017-09-20,24.594291732788086,23.788227397667015,24,-19.465544042905716,stop,0.8235294117647058,0.24043139303987307,1.0,long
AAPL,2017-09-19,2017-09-22,39.89743737602234,37.92061361348297,614,-1216.8397901991718,stop,0.8403361344537815,0.36849812745066884,1.0,long
NVDA,2017-09-12,2017-09-25,4.252125,4.289264969541479,5764,185.25478443708445,stop,0.865546218487395,0.46197823850377334,1.0,long
INTU,2017-09-15,2017-09-27,141.9209311065674,144.2878206100464,124,292.87429843139614,max_hold,0.8879551820728291,0.4053106717547852,1.0,long
FTNT,2017-09-21,2017-09-28,7.6578268053531655,7.234263207749662,82,-35.142215003487266,stop,0.8431372549019608,0.38747026315917826,1.0,long
MSFT,2017-09-18,2017-10-02,75.26761835861205,74.57269561004638,284,-198.77806059265126,max_hold,0.8235294117647058,0.5063067136144765,1.0,long
LLY,2017-09-20,2017-10-02,82.10102755737304,86.30682347488403,290,1218.230816078185,max_hold,0.907563025210084,0.3822023301607405,1.0,long
AAPL,2017-09-25,2017-10-09,37.51625012397766,38.94051908493042,620,879.9467557907104,max_hold,0.9495798319327731,0.2392491673621528,1.0,long
ADBE,2017-09-26,2017-10-09,145.57275,151.42425,168,982.2119999999978,max_hold,0.8319327731092437,0.25372432713137494,0.950440235639245,long
INTU,2017-09-28,2017-10-10,143.53173671722413,144.10790267944336,126,71.96691123962188,max_hold,0.8991596638655462,0.42759955004790295,1.0,long
ANET,2017-09-29,2017-10-11,11.7715078125,12.053345121860504,55,15.226052014827756,max_hold,0.8683473389355743,0.46950167020850225,1.0,long
BLK,2017-10-03,2017-10-16,449.6447234344482,477.72101145935056,89,2498.344634216308,max_hold,0.9916201117318436,0.46996337069557165,1.0,long
LMT,2017-10-03,2017-10-16,311.5356948852539,318.78053244018554,19,137.5569135437008,max_hold,0.8156424581005587,0.4481782053660842,1.0,long
MSFT,2017-10-10,2017-10-23,76.36816683197021,78.79058683013916,320,773.5743994140634,max_hold,0.8240223463687151,0.42086408116258,1.0,long
ORCL,2017-10-10,2017-10-23,48.184079847335816,49.28534637260437,527,577.7324588165293,max_hold,0.9553072625698324,0.16760406451031537,1.0,long
AAPL,2017-10-12,2017-10-24,39.10704527664185,39.255364025115966,481,68.93631801605073,max_hold,0.8547486033519553,0.24523046748216928,1.0,long
